	Unnamed: 0	Temperature (K)	Luminosity(L/Lo)	Radius(R/Ro)	Absolute magnitude(Mv)	Star type	Star color
0	0	3068	0.002400	0.17000	16.120	0	Red
1	1	3042	0.000500	0.15420	16.600	0	Red
2	2	2600	0.000300	0.10200	18.700	0	Red
3	3	2800	0.000200	0.16000	16.650	0	Red
4	4	1939	0.000138	0.10300	20.060	0	Red
5	5	2840	0.000650	0.11000	16.980	0	Red
6	6	2637	0.000730	0.12700	17.220	0	Red
7	7	2600	0.000400	0.09600	17.400	0	Red
8	8	2650	0.000690	0.11000	17.450	0	Red
9	9	2700	0.000180	0.13000	16.050	0	Red
10	10	3600	0.002900	0.51000	10.690	1	Red
11	11	3129	0.012200	0.37610	11.790	1	Red
12	12	3134	0.000400	0.19600	13.210	1	Red
13	13	3628	0.005500	0.39300	10.480	1	Red
14	14	2650	0.000600	0.14000	11.782	1	Red
15	15	3340	0.003800	0.24000	13.070	1	Red
16	16	2799	0.001800	0.16000	14.790	1	Red
17	17	3692	0.003670	0.47000	10.800	1	Red
18	18	3192	0.003620	0.19670	13.530	1	Red
19	19	3441	0.039000	0.35100	11.180	1	Red
20	20	25000	0.056000	0.00840	10.580	2	Blue White
21	21	7740	0.000490	0.01234	14.020	2	White
22	22	7220	0.000170	0.01100	14.230	2	White
23	23	8500	0.000500	0.01000	14.500	2	White
24	24	16500	0.013000	0.01400	11.890	2	Blue White
25	25	12990	0.000085	0.00984	12.230	2	Yellowish White
26	26	8570	0.000810	0.00970	14.200	2	Blue white
27	27	7700	0.000110	0.01280	14.470	2	Yellowish White
28	28	11790	0.000150	0.01100	12.590	2	Yellowish White
29	29	7230	0.000080	0.01300	14.080	2	Pale yellow orange
30	30	39000	204000.000000	10.60000	-4.700	3	Blue
31	31	30000	28840.000000	6.30000	-4.200	3	Blue-white
32	32	15276	1136.000000	7.20000	-1.970	3	Blue-white
33	33	9700	74.000000	2.89000	0.160	3	Whitish
34	34	5800	0.810000	0.90000	5.050	3	yellow-white
35	35	8052	8.700000	1.80000	2.420	3	Whitish
36	36	6757	1.430000	1.12000	2.410	3	yellow-white
37	37	6380	1.350000	0.98000	2.930	3	yellow-white
38	38	5936	1.357000	1.10600	4.460	3	yellow-white
39	39	5587	0.819000	0.99000	5.030	3	yellow-white
40	40	3826	200000.000000	19.00000	-6.930	4	Red
41	41	3365	340000.000000	23.00000	-6.200	4	Red
42	42	3270	150000.000000	88.00000	-6.020	4	Red
43	43	3200	195000.000000	17.00000	-7.220	4	Red
44	44	3008	280000.000000	25.00000	-6.000	4	Red
45	45	3600	320000.000000	29.00000	-6.600	4	Red
46	46	3575	123000.000000	45.00000	-6.780	4	Red
47	47	3574	200000.000000	89.00000	-5.240	4	Red
48	48	3625	184000.000000	84.00000	-6.740	4	Red
49	49	33750	220000.000000	26.00000	-6.100	4	Blue
50	50	3490	270000.000000	1520.00000	-9.400	5	Red
51	51	3750	283000.000000	1260.00000	-7.630	5	Red
52	52	3834	272000.000000	1183.00000	-9.200	5	Red
53	53	3749	550000.000000	1648.00000	-8.050	5	Orange
54	54	3650	310000.000000	1324.00000	-7.790	5	Red
55	55	3450	263000.000000	1349.00000	-11.750	5	Red
56	56	3660	363000.000000	1673.00000	-11.920	5	Red
57	57	3450	174000.000000	1284.00000	-11.280	5	Red
58	58	3752	209000.000000	955.00000	-11.240	5	Red
59	59	3535	195000.000000	1546.00000	-11.360	5	Red
60	60	3341	0.005600	0.05700	16.230	0	Red
61	61	3432	0.000670	0.19000	16.940	0	Red
62	62	2983	0.000240	0.09400	16.090	0	Red
63	63	2835	0.000340	0.09180	16.960	0	Red
64	64	2935	0.000140	0.11600	18.890	0	Red
65	65	3295	0.000980	0.13200	17.130	0	Red
66	66	2945	0.000320	0.09300	18.340	0	Red
67	67	2817	0.000980	0.09110	16.450	0	Red
68	68	2774	0.000360	0.11800	17.390	0	Red
69	69	2871	0.000720	0.12000	19.430	0	Red
70	70	3345	0.021000	0.27300	12.300	1	Red
71	71	3607	0.022000	0.38000	10.120	1	Red
72	72	3304	0.008500	0.18000	13.200	1	Red
73	73	3150	0.008800	0.35000	11.940	1	Red
74	74	3550	0.004000	0.29100	10.890	1	Red
75	75	3180	0.001000	0.35000	11.760	1	Red
76	76	2890	0.003400	0.24000	13.460	1	Red
77	77	3342	0.001500	0.30700	11.870	1	Red
78	78	2621	0.000600	0.09800	12.810	1	Red
79	79	3158	0.001350	0.16100	13.980	1	Red
80	80	7100	0.000290	0.01200	14.090	2	White-Yellow
81	81	10574	0.000140	0.00920	12.020	2	White
82	82	8930	0.000560	0.00950	13.780	2	white
83	83	17200	0.000980	0.01500	12.450	2	Blue White
84	84	14100	0.000670	0.00890	12.170	2	Blue White
85	85	9675	0.000450	0.01090	13.980	2	Blue White
86	86	12010	0.000780	0.00920	12.130	2	Blue White
87	87	10980	0.000740	0.00870	11.190	2	Blue White
88	88	13720	0.000180	0.00892	12.970	2	white
89	89	19860	0.001100	0.01310	11.340	2	Blue
90	90	5300	0.590000	0.91000	5.490	3	yellow-white
91	91	4526	0.153000	0.86500	6.506	3	yellowish
92	92	4077	0.085000	0.79500	6.228	3	yellowish
93	93	4980	0.357000	1.13000	4.780	3	Yellowish
94	94	9030	45.000000	2.63000	1.450	3	Blue-white
95	95	11250	672.000000	6.98000	-2.300	3	Blue-white
96	96	5112	0.630000	0.87600	4.680	3	Orange-Red
97	97	7720	7.920000	1.34000	2.440	3	yellow-white
98	98	12098	689.000000	7.01000	0.020	3	Blue-white
99	99	36108	198000.000000	10.20000	-4.400	3	Blue
100	100	33300	240000.000000	12.00000	-6.500	4	Blue
101	101	40000	813000.000000	14.00000	-6.230	4	Blue
102	102	23000	127000.000000	36.00000	-5.760	4	Blue
103	103	17120	235000.000000	83.00000	-6.890	4	Blue
104	104	11096	112000.000000	12.00000	-5.910	4	Blue
105	105	14245	231000.000000	42.00000	-6.120	4	Blue
106	106	24630	363000.000000	63.00000	-5.830	4	Blue
107	107	12893	184000.000000	36.00000	-6.340	4	Blue
108	108	24345	142000.000000	57.00000	-6.240	4	Blue
109	109	33421	352000.000000	67.00000	-5.790	4	Blue
110	110	3459	100000.000000	1289.00000	-10.700	5	Red
111	111	3605	126000.000000	1124.00000	-10.810	5	Red
112	112	3615	200000.000000	1635.00000	-11.330	5	Red
113	113	3399	117000.000000	1486.00000	-10.920	5	Red
114	114	3610	132000.000000	1522.00000	-10.860	5	Red
115	115	3553	145000.000000	1324.00000	-11.030	5	Red
116	116	4015	282000.000000	1534.00000	-11.390	5	Red
117	117	3625	74000.000000	876.00000	-10.250	5	Red
118	118	6850	229000.000000	1467.00000	-10.070	5	Red
119	119	3780	200000.000000	1324.00000	-10.700	5	Red
120	120	3323	0.000430	0.09120	17.160	0	Red
121	121	3531	0.000930	0.09760	19.940	0	Red
122	122	3218	0.000540	0.11000	20.020	0	Red
123	123	3146	0.000150	0.09320	16.920	0	Red
124	124	3511	0.000640	0.10900	17.120	0	Red
125	125	3225	0.000760	0.12100	19.630	0	Red
126	126	2935	0.000870	0.09320	16.880	0	Red
127	127	2861	0.000190	0.08990	16.710	0	Red
128	128	2856	0.000896	0.07820	19.560	0	Red
129	129	2731	0.000437	0.08560	18.090	0	Red
130	130	3095	0.000190	0.49200	10.870	1	Red
131	131	3607	0.000230	0.38000	10.340	1	Red
132	132	3100	0.008000	0.31000	11.170	1	Red
133	133	2989	0.008700	0.34000	13.120	1	Red
134	134	3542	0.000900	0.62000	14.230	1	Red
135	135	3243	0.002300	0.73000	14.750	1	Red
136	136	3091	0.008100	0.24000	11.430	1	Red
137	137	3598	0.001100	0.56000	14.260	1	Red
138	138	3324	0.003400	0.34000	12.230	1	Red
139	139	3541	0.001300	0.25600	14.330	1	Red
140	140	13420	0.000590	0.00981	13.670	2	Blue White
141	141	21020	0.001500	0.01120	11.520	2	Blue
142	142	18290	0.001300	0.00934	12.780	2	Blue
143	143	14520	0.000820	0.00972	11.920	2	Blue White
144	144	11900	0.000670	0.00898	11.380	2	Blue white
145	145	8924	0.000280	0.00879	14.870	2	Blue white
146	146	12912	0.000710	0.00945	12.830	2	Blue white
147	147	14732	0.000110	0.00892	12.890	2	white
148	148	7723	0.000140	0.00878	14.810	2	White
149	149	12984	0.000880	0.00996	11.230	2	Blue White
150	150	29560	188000.000000	6.02000	-4.010	3	Blue-white
151	151	8945	38.000000	2.48700	0.120	3	Blue-White
152	152	14060	1092.000000	5.74500	-2.040	3	Blue-white
153	153	16390	1278.000000	5.68000	-3.320	3	Blue-white
154	154	25070	14500.000000	5.92000	-3.980	3	Blue-white
155	155	28700	16790.000000	6.40000	-4.090	3	Blue-white
156	156	26140	14520.000000	5.49000	-3.800	3	Blue-white
157	157	20120	4720.000000	6.78000	-3.400	3	Blue-white
158	158	13023	998.000000	6.21000	-1.380	3	Blue-white
159	159	37800	202900.000000	6.86000	-4.560	3	Blue
160	160	25390	223000.000000	57.00000	-5.920	4	Blue
161	161	11567	251000.000000	36.00000	-6.245	4	Blue
162	162	12675	452000.000000	83.00000	-5.620	4	Blue
163	163	5752	245000.000000	97.00000	-6.630	4	Blue
164	164	8927	239000.000000	35.00000	-7.340	4	Blue
165	165	7282	131000.000000	24.00000	-7.220	4	Blue
166	166	19923	152000.000000	73.00000	-5.690	4	Blue
167	167	26373	198000.000000	39.00000	-5.830	4	Blue
168	168	17383	342900.000000	30.00000	-6.090	4	Blue
169	169	9373	424520.000000	24.00000	-5.990	4	Blue
170	170	3570	320000.000000	1480.00000	-7.580	5	Red
171	171	3500	138000.000000	1420.00000	-8.180	5	Red
172	172	4287	630000.000000	1315.00000	-9.200	5	Orange
173	173	26000	316000.000000	1679.00000	-9.100	5	Blue
174	174	3600	240000.000000	1190.00000	-7.890	5	Red
175	175	3614	145000.000000	1553.00000	-7.710	5	Red
176	176	18000	200000.000000	1045.00000	-8.300	5	Blue
177	177	11000	170000.000000	1779.00000	-9.900	5	Blue-white
178	178	12100	120000.000000	708.90000	-7.840	5	Blue-white
179	179	24490	248490.000000	1134.50000	-8.240	5	Blue-white
180	180	2831	0.000231	0.09150	16.210	0	Red
181	181	2914	0.000631	0.11600	18.390	0	Red
182	182	3419	0.000245	0.12600	17.560	0	Red
183	183	3218	0.000452	0.09870	17.340	0	Red
184	184	3453	0.000621	0.07730	17.080	0	Red
185	185	2889	0.000352	0.09730	16.930	0	Red
186	186	2968	0.000461	0.11900	17.450	0	Red
187	187	3484	0.000551	0.09980	16.670	0	Red
188	188	2778	0.000849	0.11200	19.450	0	Red
189	189	3523	0.000957	0.12900	16.350	0	Red
190	190	3462	0.005300	0.14800	11.470	1	Red
191	191	3257	0.002400	0.46000	10.730	1	Red
192	192	2994	0.007200	0.28000	13.450	1	Red
193	193	3212	0.001600	0.37800	12.854	1	Red
194	194	3523	0.005400	0.31900	12.430	1	Red
195	195	3598	0.002700	0.67000	13.667	1	Red
196	196	3142	0.001320	0.25800	14.120	1	Red
197	197	3496	0.001250	0.33600	14.940	1	Red
198	198	3324	0.006500	0.47100	12.780	1	Red
199	199	3463	0.002700	0.67500	14.776	1	Red
200	200	16790	0.001400	0.01210	12.870	2	Blue
201	201	15680	0.001220	0.01140	11.920	2	Blue
202	202	14982	0.001180	0.01130	12.230	2	Blue
203	203	13340	0.001090	0.01160	12.900	2	Blue
204	204	18340	0.001340	0.01240	11.220	2	Blue
205	205	19920	0.001560	0.01420	11.340	2	Blue
206	206	24020	0.001590	0.01270	10.550	2	Blue
207	207	23092	0.001320	0.01040	10.180	2	Blue
208	208	17920	0.001110	0.01060	11.660	2	Blue
209	209	19360	0.001250	0.00998	11.620	2	Blue
210	210	22350	12450.000000	6.36000	-3.670	3	Blue-white
211	211	10012	552.000000	5.85600	0.013	3	Blue-white
212	212	13089	788.000000	5.99200	-0.120	3	Blue-white
213	213	22012	6748.000000	6.64000	-2.550	3	Blue-white
214	214	34190	198200.000000	6.39000	-4.570	3	Blue
215	215	32460	173800.000000	6.23700	-4.360	3	Blue
216	216	9320	29.000000	1.91000	1.236	3	Blue-white
217	217	19400	10920.000000	6.03000	-3.080	3	Blue-white
218	218	17140	883.000000	5.65300	-2.640	3	Blue-white
219	219	8250	9.250000	1.93000	-0.980	3	yellow-white
220	220	23678	244290.000000	35.00000	-6.270	4	Blue
221	221	12749	332520.000000	76.00000	-7.020	4	Blue
222	222	9383	342940.000000	98.00000	-6.980	4	Blue
223	223	23440	537430.000000	81.00000	-5.975	4	Blue
224	224	16787	246730.000000	62.00000	-6.350	4	Blue
225	225	18734	224780.000000	46.00000	-7.450	4	Blue
226	226	9892	593900.000000	80.00000	-7.262	4	Blue
227	227	10930	783930.000000	25.00000	-6.224	4	Blue
228	228	23095	347820.000000	86.00000	-5.905	4	Blue
229	229	21738	748890.000000	92.00000	-7.346	4	Blue
230	230	24145	382993.000000	1494.00000	-8.840	5	Blue-white
231	231	38234	272830.000000	1356.00000	-9.290	5	Blue
232	232	32489	648430.000000	1948.50000	-10.840	5	Blue
233	233	27739	849420.000000	1252.00000	-7.590	5	Blue-white
234	234	21904	748490.000000	1130.00000	-7.670	5	Blue-white
235	235	38940	374830.000000	1356.00000	-9.930	5	Blue
236	236	30839	834042.000000	1194.00000	-10.630	5	Blue
237	237	8829	537493.000000	1423.00000	-10.730	5	White
238	238	9235	404940.000000	1112.00000	-11.230	5	White
239	239	37882	294903.000000	1783.00000	-7.800	5	Blue
